ID 1 Department Руководство  Position Руководитель управления,
ID 2 Department Руководство  Position Заместитель руководителя управления,
ID 3 Department Руководство  Position Заместитель руководителя управления,
ID 4 Department Руководство  Position Старший инспектор-делопроизводитель,
ID 5 Department Отдел расходов  Position Начальник отдела,
ID 6 Department Отдел расходов  Position Заместитель начальника отдела,
ID 7 Department Отдел расходов  Position Главный казначей,
ID 8 Department Отдел расходов  Position Старший казначей,
ID 9 Department Отдел расходов  Position Старший казначей,
ID 10 Department Отдел расходов  Position Казначей,
ID 11 Department Отдел расходов  Position Старший казначей,
ID 12 Department Отдел расходов  Position Главный казначей,
ID 13 Department Отдел расходов  Position Казначей,
ID 14 Department Отдел расходов  Position Старший казначей,
ID 15 Department Отдел расходов  Position Старший казначей,
ID 16 Department Отдел расходов  Position Казначей,
ID 17 Department Отдел расходов  Position Главный казначей,
ID 18 Department Отдел расходов  Position Специалист 1 разряда,
ID 19 Department Отдел расходов  Position Старший казначей,
ID 20 Department Отдел расходов  Position Старший казначей,
ID 21 Department Отдел расходов  Position Казначей,
ID 22 Department Отдел расходов  Position Казначей,
ID 23 Department Отдел расходов  Position Старший казначей,
ID 24 Department Отдел расходов  Position Казначей,
ID 25 Department Отдел расходов  Position Ведущий эксперт,
ID 26 Department Отдел казначейского сопровождения  Position Начальник отдела ,
ID 27 Department Отдел казначейского сопровождения  Position Заместитель начальника отдела,
ID 28 Department Отдел казначейского сопровождения  Position Специалист 1 разряда,
ID 29 Department Отдел казначейского сопровождения  Position Казначей,
ID 30 Department Отдел доходов  Position Начальник отдела,
ID 31 Department Отдел доходов  Position Заместитель начальника отдела,
ID 32 Department Отдел доходов  Position Главный казначей,
ID 33 Department Отдел доходов  Position Главный казначей,
ID 34 Department Отдел доходов  Position Старший казначей,
ID 35 Department Отдел доходов  Position Старший казначей,
ID 36 Department Отдел доходов  Position Казначей,
ID 37 Department Отдел доходов  Position Старший казначей,
ID 38 Department Отдел доходов  Position Старший казначей,
ID 39 Department Отдел доходов  Position Старший казначей,
ID 40 Department Отдел доходов  Position Казначей,
ID 41 Department Отдел доходов  Position Казначей,
ID 42 Department Отдел доходов  Position Казначей,
ID 43 Department Отдел доходов  Position Казначей,
ID 44 Department Операционный отдел  Position Начальник отдела,
ID 45 Department Операционный отдел  Position Заместитель начальника отдела,
ID 46 Department Операционный отдел  Position Старший казначей,
ID 47 Department Операционный отдел  Position Казначей,
ID 48 Department Операционный отдел  Position Казначей,
ID 49 Department Операционный отдел  Position Старший казначей,
ID 50 Department Операционный отдел  Position Главный казначей,
ID 51 Department Отдел бюджетного учета и отчетности по операциям бюджетов  Position Начальник отдела –главный бухгалтер,
ID 52 Department Отдел бюджетного учета и отчетности по операциям бюджетов  Position Заместитель начальника отдела - заместитель главного бухгалтера,
ID 53 Department Отдел бюджетного учета и отчетности по операциям бюджетов  Position Главный казначей,
ID 54 Department Отдел бюджетного учета и отчетности по операциям бюджетов  Position Казначей,
ID 55 Department Отдел бюджетного учета и отчетности по операциям бюджетов  Position Главный казначей,
ID 56 Department Отдел бюджетного учета и отчетности по операциям бюджетов  Position Старший казначей,
ID 57 Department Отдел бюджетного учета и отчетности по операциям бюджетов  Position Старший казначей,
ID 58 Department Отдел информационных систем  Position Начальник отдела ,
ID 59 Department Отдел информационных систем  Position Заместитель начальника отдела,
ID 60 Department Отдел информационных систем  Position Заместитель начальника отдела,
ID 61 Department Отдел информационных систем  Position Главный специалист-эксперт,
ID 62 Department Отдел информационных систем  Position Главный специалист-эксперт,
ID 63 Department Отдел информационных систем  Position Главный специалист-эксперт,
ID 64 Department Отдел информационных систем  Position Главный специалист-эксперт,
ID 65 Department Отдел информационных систем  Position Ведущий специалист-эксперт,
ID 66 Department Отдел информационных систем  Position Ведущий специалист-эксперт,
ID 67 Department Отдел информационных систем  Position Ведущий специалист-эксперт,
ID 68 Department Отдел информационных систем  Position Специалист 1 разряда,
ID 69 Department Отдел информационных систем  Position Специалист 1 разряда,
ID 70 Department Отдел режима секретности и безопасности информации  Position Начальник отдела,
ID 71 Department Отдел режима секретности и безопасности информации  Position Старший специалист 1 разряда,
ID 72 Department Отдел режима секретности и безопасности информации  Position Главный специалист-эксперт,
ID 73 Department Отдел режима секретности и безопасности информации  Position Главный специалист-эксперт,
ID 74 Department Отдел режима секретности и безопасности информации  Position Ведущий специалист-эксперт,
ID 75 Department Отдел режима секретности и безопасности информации  Position Ведущий специалист-эксперт,
ID 76 Department Отдел режима секретности и безопасности информации  Position Ведущий специалист-эксперт,
ID 77 Department Отдел режима секретности и безопасности информации  Position Специалист - эксперт,
ID 78 Department Специалист по вопросам МП  Position Главный специалист-эксперт,
ID 79 Department Специалист по вопросам ГО  Position Главный специалист-эксперт,
ID 80 Department Отдел ведения федеральных реестров  Position Начальник отдела,
ID 81 Department Отдел ведения федеральных реестров  Position Заместитель начальника отдела,
ID 82 Department Отдел ведения федеральных реестров  Position Старший казначей,
ID 83 Department Отдел ведения федеральных реестров  Position Казначей,
ID 84 Department Отдел ведения федеральных реестров  Position Казначей,
ID 85 Department Отдел ведения федеральных реестров  Position Старший казначей,
ID 86 Department Отдел ведения федеральных реестров  Position Старший казначей,
ID 87 Department Отдел ведения федеральных реестров  Position Казначей,
ID 88 Department Отдел ведения федеральных реестров  Position Казначей,
ID 89 Department Руководство  Position Руководитель управления,
ID 90 Department Руководство  Position Заместитель руководителя управления,
ID 91 Department Руководство  Position Заместитель руководителя управления,
ID 92 Department Руководство  Position Заместитель руководителя управления,
ID 93 Department Руководство  Position Помощник руководителя управления,
ID 94 Department Руководство  Position Специалист 1 разряда,
ID 95 Department Отдел кассового обслуживания исполнения бюджетов  Position Начальник отдела,
ID 96 Department Отдел кассового обслуживания исполнения бюджетов  Position Заместитель начальника отдела,
ID 97 Department Отдел кассового обслуживания исполнения бюджетов  Position Главный казначей,
ID 98 Department Отдел кассового обслуживания исполнения бюджетов  Position Старший казначей,
ID 99 Department Отдел кассового обслуживания исполнения бюджетов  Position Казначей,
ID 100 Department Отдел кассового обслуживания исполнения бюджетов  Position Главный казначей,
ID 101 Department Отдел кассового обслуживания исполнения бюджетов  Position  Старший казначей,
ID 102 Department Отдел кассового обслуживания исполнения бюджетов  Position Старший казначей,
ID 103 Department Отдел кассового обслуживания исполнения бюджетов  Position Казначей,
ID 104 Department Отдел кассового обслуживания исполнения бюджетов  Position Старший казначей,
ID 105 Department Отдел кассового обслуживания исполнения бюджетов  Position Казначей,
ID 106 Department Отдел кассового обслуживания исполнения бюджетов  Position Старший казначей,
ID 107 Department Отдел кассового обслуживания исполнения бюджетов  Position Казначей,
ID 108 Department Отдел кассового обслуживания исполнения бюджетов  Position Главный казначей,
ID 109 Department Отдел кассового обслуживания исполнения бюджетов  Position Казначей,
ID 110 Department Отдел кассового обслуживания исполнения бюджетов  Position Казначей,
ID 111 Department Отдел кассового обслуживания исполнения бюджетов  Position Казначей,
ID 112 Department Отдел кассового обслуживания исполнения бюджетов  Position Старший казначей,
ID 113 Department Отдел кассового обслуживания исполнения бюджетов  Position Специалист 1 разряда,
ID 114 Department Юридический отдел  Position Начальник отдела,
ID 115 Department Юридический отдел  Position Заместитель начальника отдела,
ID 116 Department Юридический отдел  Position Специалист - эксперт,
ID 117 Department Юридический отдел  Position Ведущий специалист-эксперт,
ID 118 Department Юридический отдел  Position Специалист - эксперт,
ID 119 Department Юридический отдел  Position Специалист - эксперт,
ID 120 Department Юридический отдел  Position Специалист - эксперт,
ID 121 Department Отдел внутреннего контроля и аудита  Position Начальник отдела,
ID 122 Department Отдел внутреннего контроля и аудита  Position Заместитель начальника отдела,
ID 123 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 124 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 125 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 126 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 127 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 128 Department Отдел внутреннего контроля и аудита  Position Старший казначей,
ID 129 Department Отдел централизованной бухгалтерии  Position Начальник отдела – главный бухгалтер,
ID 130 Department Отдел централизованной бухгалтерии  Position Заместитель начальника отдела - заместитель главного бухгалтера ,
ID 131 Department Отдел централизованной бухгалтерии  Position Старший казначей,
ID 132 Department Отдел централизованной бухгалтерии  Position Казначей,
ID 133 Department Отдел централизованной бухгалтерии  Position Казначей,
ID 134 Department Отдел централизованной бухгалтерии  Position Старший Казначей,
ID 135 Department Отдел централизованной бухгалтерии  Position Старший казначей,
ID 136 Department Отдел централизованной бухгалтерии  Position Казначей,
ID 137 Department Отдел централизованной бухгалтерии  Position Старший казначей,
ID 138 Department Отдел централизованной бухгалтерии  Position казначей,
